# annual AT zonal mean with weighted latitudes for nh - North hemisphere, gl - Greenland (6–75°W, 58–85°N), arctic - the Arctic (> 66:5° N),
# AT in °C, 1900-2015
# based on 20CRv3 data
years,global_AT,nh_AT,arctic_AT,gl_AT,global_AT_ano,nh_AT_ano,arctic_AT_ano,gl_AT_ano,gl_AT_at
1980,14.543510737269004,15.281174825140852,-11.228132662890689,-5.875453481660259,-0.1833522825260765,-0.3411830724534734,-0.8673951542650578,0.2400957690661203,-6.493264719065462
1981,14.552906274165366,15.319065167607846,-10.847272249158095,-6.640046475853524,-0.1739567456297148,-0.3032927299864791,-0.4865347405324645,-0.5244972251271447,-6.478357011979699
1982,14.30958830238484,14.98989758924779,-11.986993104436864,-7.4802943798347314,-0.4172747174102404,-0.6324603083465359,-1.6262555958112337,-1.3647451291083526,-6.733052469202471
1983,14.49904390675107,15.18251499110221,-11.55330157821129,-8.272617350984433,-0.2278191130440117,-0.4398429064921156,-1.192564069585659,-2.157068100258054,-6.995518335298675
1984,14.308799736135713,14.9668981043464,-11.10865412787348,-7.166147625408655,-0.418063283659368,-0.6554597932479247,-0.7479166192478495,-1.0505983746822762,-7.0869118627483205
1985,14.363830253856008,15.010968992116943,-11.152630854244592,-6.231267424356531,-0.3630327659390726,-0.6113889054773818,-0.791893345618961,-0.1157181736301522,-7.158074651287575
1986,14.48971476054237,15.155621624736227,-11.413869326562804,-6.854449242543183,-0.2371482592527112,-0.4667362728580979,-1.0531318179371727,-0.7388999918168038,-7.200955204625506
1987,14.558644241277308,15.257624579190406,-12.086430753885566,-6.688372230680045,-0.1682187785177724,-0.3647333184039194,-1.7256932452599347,-0.5728229799536662,-7.042570774794569
1988,14.551318255365402,15.25430755766348,-11.485441048324503,-6.8301975650077225,-0.175544764429679,-0.3680503399308445,-1.1247035396988725,-0.7146483142813436,-6.754086817599228
1989,14.441745275217444,15.230227796085728,-11.500801560433842,-7.727749132898737,-0.2851177445776365,-0.3921301015085969,-1.1400640518082117,-1.6121998821723578,-6.866407119097244
1990,14.70299144924445,15.502970032862152,-10.771658427803288,-7.138003037937779,-0.0238715705506304,-0.1193878647321735,-0.4109209191776575,-1.0224537872113997,-7.047754241813493
1991,14.594359214782514,15.389380207688587,-10.885359731850317,-6.949154237322034,-0.1325038050125666,-0.2329776899057378,-0.5246222232246858,-0.8336049865956552,-7.066695240769263
1992,14.368266608626072,15.097279505639335,-11.432563349692714,-7.653249950906854,-0.3585964111690085,-0.52507839195499,-1.0718258410670831,-1.5377007001804754,-7.259670784814626
1993,14.359097711004836,15.193211374341558,-10.9436172820906,-7.380014446041855,-0.3677653087902452,-0.4291465232527667,-0.5828797734649687,-1.2644651953154762,-7.369634161021452
1994,14.506068089307746,15.431428718446966,-11.05970591484396,-6.803592448982101,-0.2207949304873349,-0.1909291791473588,-0.698968406218329,-0.6880431982557225,-7.184802824238124
1995,14.702563512734343,15.685245713429822,-9.903620455169175,-6.388502403009625,-0.0242995070607374,0.0628878158354968,0.4571170534564555,-0.2729531522832458,-7.034902697252494
1996,14.55098508535707,15.348938267548135,-10.472351123793544,-5.580269127774841,-0.1758779344380112,-0.2734196300461899,-0.1116136151679132,0.535280122951538,-6.761125675343055
1997,14.717322141312934,15.591917551712925,-11.092949579677224,-6.35398508109148,-0.0095408784821469,-0.0304403458814004,-0.7322120710515936,-0.238435830365101,-6.50127270137998
